일시,충격,온도,습도,속도
2025-03-08 23:58:51,1.0,19.0,26.8,0
2025-03-08 23:58:20,1.0,19.0,26.8,0
2025-03-08 23:57:50,1.0,19.0,26.8,0
2025-03-08 23:57:20,1.0,19.0,26.8,0
2025-03-08 23:56:50,1.0,18.9,26.9,0
2025-03-08 23:56:19,1.0,19.0,26.7,0
2025-03-08 23:55:49,1.0,19.0,26.5,0
2025-03-08 23:55:19,1.0,19.0,26.5,0
2025-03-08 23:54:49,1.0,19.1,26.3,0
2025-03-08 23:54:18,1.0,19.1,26.3,0
2025-03-08 23:53:48,1.0,19.2,26.1,0
2025-03-08 23:53:18,1.0,19.3,26.2,0
2025-03-08 23:52:48,1.0,19.2,26.4,0
2025-03-08 23:52:17,1.0,19.1,26.5,0
2025-03-08 23:51:47,1.0,19.3,26.5,0
2025-03-08 23:51:17,1.0,19.2,26.5,0
2025-03-08 23:50:47,1.0,19.2,26.8,0
2025-03-08 23:50:16,1.0,19.1,26.7,0
2025-03-08 23:49:46,1.0,19.1,26.9,0
2025-03-08 23:49:16,1.0,19.1,26.8,0
2025-03-08 23:48:46,1.0,19.1,26.8,0
2025-03-08 23:48:15,1.0,19.1,26.9,0
2025-03-08 23:47:45,1.0,19.0,26.8,0
2025-03-08 23:47:15,1.0,19.0,26.9,0
2025-03-08 23:46:45,1.0,19.0,26.8,0
2025-03-08 23:46:33,1.0,18.9,26.9,0
2025-03-08 23:46:14,1.0,19.0,26.9,0
2025-03-08 23:46:03,1.0,19.0,26.8,0
2025-03-08 23:45:33,1.0,19.0,26.8,0
2025-03-08 23:45:02,1.0,19.0,26.8,0
2025-03-08 23:44:32,1.0,19.0,26.9,0
2025-03-08 23:44:02,1.0,19.0,26.8,0
2025-03-08 23:43:31,1.0,19.0,26.6,0
2025-03-08 23:43:01,1.0,18.9,26.7,0
2025-03-08 23:42:31,1.0,19.1,26.7,0
2025-03-08 23:42:01,1.0,19.1,26.6,0
2025-03-08 23:41:30,1.0,19.1,26.5,0
2025-03-08 23:41:00,1.0,19.1,26.5,0
2025-03-08 23:40:30,1.0,19.1,26.4,0
2025-03-08 23:39:59,1.0,19.2,26.2,0
2025-03-08 23:39:29,1.0,19.2,26.2,0
2025-03-08 23:38:59,1.0,19.2,26.3,0
2025-03-08 23:38:29,1.0,19.2,26.4,0
2025-03-08 23:37:58,1.0,19.2,26.5,0
2025-03-08 23:37:28,1.0,19.2,26.7,0
2025-03-08 23:36:58,1.0,19.1,26.8,0
2025-03-08 23:36:27,1.0,19.2,26.7,0
2025-03-08 23:35:57,1.0,19.2,26.9,0
2025-03-08 23:35:27,1.0,19.1,26.8,0
2025-03-08 23:34:57,1.0,19.1,27.0,0
2025-03-08 23:34:26,1.0,19.1,26.8,0
2025-03-08 23:33:56,1.0,19.1,26.9,0
2025-03-08 23:33:26,1.0,19.0,26.8,0
2025-03-08 23:32:56,1.0,19.1,26.9,0
2025-03-08 23:32:25,1.0,19.1,26.8,0
2025-03-08 23:31:55,1.0,19.0,26.9,0
2025-03-08 23:31:25,1.0,19.0,26.9,0
2025-03-08 23:30:55,1.0,19.0,27.0,0
2025-03-08 23:30:24,1.0,19.0,26.8,0
2025-03-08 23:29:54,1.0,19.1,26.8,0
2025-03-08 23:29:24,1.0,19.1,26.9,0
2025-03-08 23:28:53,1.0,19.0,26.8,0
2025-03-08 23:28:23,1.0,19.1,26.5,0
2025-03-08 23:27:53,1.0,19.1,26.6,0
2025-03-08 23:27:23,1.0,19.1,26.5,0
2025-03-08 23:26:52,1.0,19.2,26.5,0
2025-03-08 23:26:22,1.0,19.2,26.5,0
2025-03-08 23:25:52,1.0,19.2,26.2,0
2025-03-08 23:24:21,1.0,19.2,26.5,0
2025-03-08 23:23:51,1.0,19.3,26.5,0
2025-03-08 23:23:21,1.0,19.3,26.6,0
2025-03-08 23:22:50,1.0,19.3,26.7,0
2025-03-08 23:22:20,1.0,19.2,26.8,0
2025-03-08 23:21:50,1.0,19.1,26.9,0
2025-03-08 23:21:20,1.0,19.1,26.9,0
2025-03-08 23:20:49,1.0,19.0,26.8,0
2025-03-08 23:20:19,1.0,19.1,26.9,0
2025-03-08 23:19:49,1.0,19.1,26.8,0
2025-03-08 23:19:18,1.0,19.0,26.8,0
2025-03-08 23:18:48,1.0,19.0,26.9,0
2025-03-08 23:18:18,1.0,19.0,26.8,0
2025-03-08 23:17:48,1.0,19.0,26.9,0
2025-03-08 23:17:17,1.0,19.0,27.0,0
2025-03-08 23:16:47,1.0,19.0,26.9,0
2025-03-08 23:16:17,1.0,19.0,27.0,0
2025-03-08 23:15:47,1.0,19.0,26.9,0
2025-03-08 23:15:16,1.0,19.0,26.8,0
2025-03-08 23:14:46,1.0,19.0,26.8,0
2025-03-08 23:14:16,1.0,19.0,26.7,0
2025-03-08 23:13:45,1.0,19.1,26.6,0
2025-03-08 23:13:15,1.0,19.1,26.5,0
2025-03-08 23:12:45,1.0,19.1,26.5,0
2025-03-08 23:12:15,1.0,19.1,26.5,0
2025-03-08 23:11:44,1.0,19.2,26.3,0
2025-03-08 23:11:14,1.0,19.2,26.2,0
2025-03-08 23:10:44,1.0,19.2,26.4,0
2025-03-08 23:10:14,1.0,19.2,26.4,0
2025-03-08 23:09:43,1.0,19.2,26.5,0
2025-03-08 23:09:13,1.0,19.3,26.7,0
2025-03-08 23:08:43,1.0,19.2,26.9,0
2025-03-08 23:08:13,1.0,19.2,26.8,0
2025-03-08 23:07:42,1.0,19.1,26.7,0
2025-03-08 23:07:12,1.0,19.1,26.7,0
2025-03-08 23:06:42,1.0,19.1,27.0,0
2025-03-08 23:06:11,1.0,19.0,26.9,0
2025-03-08 23:05:41,1.0,19.1,26.9,0
2025-03-08 23:05:11,1.0,19.0,26.8,0
2025-03-08 23:04:41,1.0,19.0,26.9,0
2025-03-08 23:04:10,1.0,19.0,26.7,0
2025-03-08 23:03:40,1.0,18.9,27.0,0
2025-03-08 23:03:10,1.0,18.9,26.9,0
2025-03-08 23:02:40,1.0,19.0,26.8,0
2025-03-08 23:02:09,1.0,19.0,26.8,0
2025-03-08 23:01:39,1.0,18.9,26.7,0
2025-03-08 23:01:09,1.0,19.1,26.8,0
2025-03-08 23:00:38,1.0,18.9,26.7,0
2025-03-08 23:00:08,1.0,18.9,26.7,0
2025-03-08 22:59:38,1.0,19.0,26.7,0
2025-03-08 22:59:08,1.0,19.0,26.5,0
2025-03-08 22:58:37,1.0,19.2,26.5,0
2025-03-08 22:58:07,1.0,19.2,26.5,0
2025-03-08 22:57:37,1.0,19.2,26.4,0
2025-03-08 22:57:07,1.0,19.3,26.2,0
2025-03-08 22:56:36,1.0,19.3,26.4,0
2025-03-08 22:56:06,1.0,19.2,26.5,0
2025-03-08 22:55:36,1.0,19.1,26.6,0
2025-03-08 22:55:05,1.0,19.3,26.7,0
2025-03-08 22:54:35,1.0,19.2,26.7,0
2025-03-08 22:54:05,1.0,19.2,26.8,0
2025-03-08 22:53:35,1.0,19.1,26.8,0
2025-03-08 22:53:04,1.0,19.2,26.9,0
2025-03-08 22:52:34,1.0,19.1,26.8,0
2025-03-08 22:52:04,1.0,19.2,26.9,0
2025-03-08 22:51:33,1.0,19.0,26.9,0
2025-03-08 22:51:03,1.0,19.0,27.0,0
2025-03-08 22:50:33,1.0,19.0,26.8,0
2025-03-08 22:50:02,1.0,18.9,26.8,0
2025-03-08 22:49:32,1.0,19.0,26.8,0
2025-03-08 22:49:02,1.0,18.9,26.9,0
2025-03-08 22:48:32,1.0,19.1,26.7,0
2025-03-08 22:48:01,1.0,19.0,26.7,0
2025-03-08 22:47:31,1.0,19.0,26.8,0
2025-03-08 22:47:01,1.0,18.9,26.8,0
2025-03-08 22:46:30,1.0,19.0,26.7,0
2025-03-08 22:46:00,1.0,19.0,26.7,0
2025-03-08 22:45:30,1.0,19.0,26.7,0
2025-03-08 22:44:59,1.0,19.0,26.5,0
2025-03-08 22:44:29,1.0,19.1,26.6,0
2025-03-08 22:43:59,1.0,19.1,26.5,0
2025-03-08 22:43:29,1.0,19.2,26.5,0
2025-03-08 22:42:58,1.0,19.1,26.1,0
